Source,Target,Type,Id,Label,Weight,batchname
waitfor520,ooof,Directed,8393,,1,ooof_2
waiting1911,wangxm,Directed,8394,,1,wangxm_2
waiting_it,ooof,Directed,8395,,1,ooof_2
wajwajwaj,ooof,Directed,8396,,1,ooof_2
wallace_2012,ooof,Directed,8397,,1,ooof_2
Wallace_2012,wangxm,Directed,8398,,1,wangxm_2
walltuan,ooof,Directed,8399,,1,ooof_2
wandsyu,ooof,Directed,8400,,1,ooof_2
wang2j,ooof,Directed,8401,,1,ooof_2
wangafa,wuzhiwo,Directed,8402,,1,wuzhiwo_2
wangcai007,waffler22,Directed,8403,,1,waffler22_2
wangchangan,wuzhiwo,Directed,8404,,1,wuzhiwo_2
WangDangWangGuo,wangxm,Directed,8408,,1,wangxm_2
wangguan,ooof,Directed,8409,,1,ooof_2
wanghm7419,ooof,Directed,8410,,1,ooof_2
wangjinwan,ooof,Directed,8411,,1,ooof_2
wangjizai,waffler22,Directed,8412,,1,waffler22_2
wangjucai,wangxm,Directed,8413,,1,wangxm_2
wangjunhui,ooof,Directed,8414,,1,ooof_2
wangkaixin,wangxm,Directed,8415,,1,wangxm_2
wanglaowu01,wangxm,Directed,8416,,1,wangxm_2
wangleimr,ooof,Directed,8417,,1,ooof_2
wanglianhua,waffler22,Directed,8418,,1,waffler22_2
wanglidong,waffler22,Directed,8419,,1,waffler22_2
wangqiang,ooof,Directed,8420,,1,ooof_2
wangqingwei,wangxm,Directed,8421,,1,wangxm_2
wangshiyi2012,ooof,Directed,8422,,1,ooof_2
wangshuishui,wuzhiwo,Directed,8423,,1,wuzhiwo_2
wangwenhou6,waffler22,Directed,8426,,1,waffler22_2
wangwenhou6,wangxm,Directed,8427,,1,wangxm_2
wangwusi,waffler22,Directed,8429,,1,waffler22_2
wangwusi,ooof,Directed,8428,,1,ooof_2
wangxingyue,ooof,Directed,8430,,1,ooof_2
wangyi09,wangxm,Directed,8973,,1,wangxm_2
weirdchina,wangxm,Directed,9007,,1,wangxm_2
wenbon,wangxm,Directed,9015,,1,wangxm_2
wistreer,wangxm,Directed,9048,,1,wangxm_2
withbach,waffler22,Directed,9050,,1,waffler22_2
wohome,waffler22,Directed,9072,,1,waffler22_2
wohome,wangxm,Directed,9073,,1,wangxm_2
woshuo,waffler22,Directed,9087,,1,waffler22_2
woshuo,wangxm,Directed,9088,,1,wangxm_2
wumao,ooof,Directed,9103,,1,ooof_2
wuquan,wuzhiwo,Directed,9105,,1,wuzhiwo_2
wurenhua,wangxm,Directed,9106,,1,wangxm_2
wuxiaoniu,wangxm,Directed,9113,,1,wangxm_2
wuye727001,wangxm,Directed,9115,,1,wangxm_2
wuzhenqilawyer,wangxm,Directed,9118,,1,wangxm_2
wxhch64,wangxm,Directed,9580,,1,wangxm_2
wxshenjun,wangxm,Directed,9582,,1,wangxm_2
xialinlawyer,wangxm,Directed,9600,,1,wangxm_2
xiangmeier,waffler22,Directed,9603,,1,waffler22_2
xiangmeier,wangxm,Directed,9604,,1,wangxm_2
xiaoshu1,wangxm,Directed,9622,,1,wangxm_2
xiaoyong8964,wangxm,Directed,9632,,1,wangxm_2
XiaYeliang,wangxm,Directed,9636,,1,wangxm_2
xiniu1966,ooof,Directed,9661,,1,ooof_2
xiniu1966,wangxm,Directed,9662,,1,wangxm_2
xiuchangguatou,wangxm,Directed,9671,,1,wangxm_2
xmjhhk,wangxm,Directed,9686,,1,wangxm_2
xutiyao,waffler22,Directed,9701,,1,waffler22_2
xutiyao,wangxm,Directed,9702,,1,wangxm_2
yancaiwm,wangxm,Directed,9724,,1,wangxm_2
yancaiwm,wuzhiwo,Directed,9725,,1,wuzhiwo_2
yanglicai,wangxm,Directed,9734,,1,wangxm_2
yanglicai,wuzhiwo,Directed,9735,,1,wuzhiwo_2
yangpigui,waffler22,Directed,9740,,1,waffler22_2
yangpigui,ooof,Directed,9739,,1,ooof_2
yangpigui,wangxm,Directed,9741,,1,wangxm_2
yangpigui,wuzhiwo,Directed,9742,,1,wuzhiwo_2
yanyuan,wangxm,Directed,9755,,1,wangxm_2
yaoraonan,waffler22,Directed,9759,,1,waffler22_2
yaoraonan,wangxm,Directed,9760,,1,wangxm_2
yinqiao,wangxm,Directed,9798,,1,wangxm_2
young,waffler22,Directed,9833,,1,waffler22_2
young,ooof,Directed,9832,,1,ooof_2
ytf92,ooof,Directed,9844,,1,ooof_2
ytf92,wangxm,Directed,9845,,1,wangxm_2
ytf92,wuzhiwo,Directed,9846,,1,wuzhiwo_2
yuantengfei,ooof,Directed,9850,,1,ooof_2
yuchi998,wangxm,Directed,9854,,1,wangxm_2
yueliangnv,wangxm,Directed,9860,,1,wangxm_2
yunchenran,wangxm,Directed,9870,,1,wangxm_2
YUYAN999,wangxm,Directed,9873,,1,wangxm_2
zhangming1,wangxm,Directed,9925,,1,wangxm_2
zhangpp,wangxm,Directed,9927,,1,wangxm_2
zhaogli,waffler22,Directed,9942,,1,waffler22_2
zhaogli,ooof,Directed,9941,,1,ooof_2
zhaogli,wangxm,Directed,9943,,1,wangxm_2
zskj,wangxm,Directed,10018,,1,wangxm_2
wangxuezhong,waffler22,Directed,8970,,1,waffler22_2
wangxulife,ooof,Directed,8971,,1,ooof_2
wangyahui,waffler22,Directed,8972,,1,waffler22_2
wangziyi,ooof,Directed,8974,,1,ooof_2
wang_lilin,wangxm,Directed,8975,,1,wangxm_2
wang_zheng,ooof,Directed,8976,,1,ooof_2
wanjie,ooof,Directed,8977,,1,ooof_2
wanlei,ooof,Directed,8978,,1,ooof_2
wannafindanewjo,ooof,Directed,8979,,1,ooof_2
wanqiu,ooof,Directed,8980,,1,ooof_2
wantfly1989,wangxm,Directed,8981,,1,wangxm_2
wan_ku,waffler22,Directed,8983,,1,waffler22_2
wan_ku,ooof,Directed,8982,,1,ooof_2
watchbilllau,wangxm,Directed,8984,,1,wangxm_2
water1983,wangxm,Directed,8985,,1,wangxm_2
waterth,wangxm,Directed,8986,,1,wangxm_2
wawewe,wangxm,Directed,8987,,1,wangxm_2
waywb,waffler22,Directed,8988,,1,waffler22_2
wbf999,ooof,Directed,8989,,1,ooof_2
wcd0,ooof,Directed,8990,,1,ooof_2
wdcl,waffler22,Directed,8991,,1,waffler22_2
we81712,ooof,Directed,8992,,1,ooof_2
wearetogether,ooof,Directed,8993,,1,ooof_2
webo8,wuzhiwo,Directed,8994,,1,wuzhiwo_2
websavage,ooof,Directed,8995,,1,ooof_2
wei38466,wangxm,Directed,8996,,1,wangxm_2
weidong1968,ooof,Directed,8998,,1,ooof_2
weifeng,ooof,Directed,8999,,1,ooof_2
weiguanghai,ooof,Directed,9000,,1,ooof_2
